FIPS,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE_MALE,WHITE_FEMALE,BLACK_MALE,BLACK_FEMALE,INDIAN_MALE,INDIAN_FEMALE,ASIAN_MALE,ASIAN_FEMALE,NATIVE_MALE,NATIVE_FEMALE,TWO_OR_MORE_MALE,TWO_OR_MORE_FEMALE,WHITE_COMBINATION_MALE,WHITE_COMBINATION_FEMALE,BLACK_COMBINATION_MALE,BLACK_COMBINATION_FEMALE,INDIAN_COMBINATION_MALE,INDIAN_COMBINATION_FEMALE,ASIAN_COMBINATION_MALE,ASIAN_COMBINATION_FEMALE,NATIVE_COMBINATION_MALE,NATIVE_COMBINATION_FEMALE,HISPANIC_MALE,HISPANIC_FEMALE
26083,2021,75-79,156,94,62,93,62,0,0,1,0,0,0,0,0,0,0,93,62,0,0,1,0,0,0,0,0,1,1
26083,2021,80-84,91,51,40,51,40,0,0,0,0,0,0,0,0,0,0,51,40,0,0,0,0,0,0,0,0,0,1
26083,2021,85+,60,20,40,20,39,0,0,0,0,0,1,0,0,0,0,20,39,0,0,0,0,0,1,0,0,0,0
26083,2022,20-24,86,36,50,35,48,0,0,0,0,0,0,0,0,1,2,36,50,0,0,0,2,1,0,0,0,0,1
26083,2022,25-29,88,54,34,51,33,1,1,0,0,0,0,0,0,2,0,53,33,2,1,0,0,1,0,0,0,0,0
26083,2022,30-34,98,50,48,47,47,0,1,0,0,0,0,0,0,3,0,49,47,1,1,2,0,0,0,1,0,0,1
26083,2022,35-39,90,47,43,46,39,0,1,0,0,0,0,0,0,1,3,47,42,1,2,0,0,0,1,0,1,1,1
26083,2022,40-44,87,47,40,45,37,0,0,2,0,0,0,0,0,0,3,45,40,0,1,2,3,0,0,0,0,1,1
26083,2022,45-49,108,54,54,50,49,0,0,3,0,0,0,0,0,1,5,51,52,0,3,4,4,0,0,0,0,1,0
26083,2022,50-54,124,61,63,61,62,0,0,0,0,0,1,0,0,0,0,61,62,0,0,0,0,0,1,0,0,2,0
26083,2022,55-59,135,65,70,65,68,0,0,0,1,0,0,0,0,0,1,65,69,0,0,0,2,0,0,0,0,1,1
26083,2022,60-64,197,97,100,97,97,0,0,0,0,0,0,0,0,0,3,97,100,0,1,0,2,0,0,0,0,0,1
26083,2022,65-69,210,100,110,99,109,0,0,0,1,0,0,0,0,1,0,100,109,0,0,0,1,1,0,0,0,0,1
26083,2022,70-74,229,115,114,115,112,0,0,0,0,0,0,0,0,0,2,115,114,0,1,0,1,0,0,0,0,0,2
26083,2022,75-79,166,102,64,99,63,0,0,2,0,0,0,0,0,1,1,100,63,0,1,2,1,1,0,0,0,1,1
26083,2022,80-84,99,61,38,61,38,0,0,0,0,0,0,0,0,0,0,61,38,0,0,0,0,0,0,0,0,0,1
26083,2022,85+,61,19,42,19,41,0,0,0,0,0,1,0,0,0,0,19,41,0,0,0,0,0,1,0,0,0,0
26083,2023,20-24,78,34,44,34,42,0,0,0,0,0,0,0,0,0,2,34,44,0,1,0,0,0,1,0,0,0,1
26083,2023,25-29,95,50,45,48,43,1,2,0,0,0,0,0,0,1,0,49,43,1,2,1,0,0,0,0,0,0,0
26083,2023,30-34,111,57,54,53,53,0,1,0,0,0,0,0,0,4,0,57,53,1,1,2,0,0,0,1,0,0,0
26083,2023,35-39,83,45,38,44,34,0,1,0,0,0,0,0,0,1,3,45,36,0,3,1,0,0,2,0,0,1,2
26083,2023,40-44,92,47,45,47,42,0,0,0,0,0,0,0,0,0,3,47,45,0,1,0,2,0,0,0,0,1,2
26083,2023,45-49,104,56,48,53,44,0,0,3,0,0,0,0,0,0,4,53,48,0,0,3,4,0,0,0,0,0,0
26083,2023,50-54,122,58,64,57,62,0,0,0,0,0,1,0,0,1,1,58,63,0,0,1,0,0,2,0,0,3,0
26083,2023,55-59,126,66,60,65,58,0,0,0,1,1,0,0,0,0,1,65,59,0,1,0,1,1,0,0,0,0,1
26083,2023,60-64,200,94,106,94,104,0,0,0,0,0,0,0,0,0,2,94,106,0,1,0,0,0,1,0,0,3,1
26083,2023,65-69,207,104,103,103,101,0,0,0,1,0,0,0,0,1,1,104,102,0,1,1,1,0,0,0,0,0,0
26083,2023,70-74,231,108,123,108,122,0,0,0,0,0,0,0,0,0,1,108,123,0,0,0,1,0,0,0,0,0,3
26083,2023,75-79,182,111,71,108,69,0,0,2,0,0,0,0,0,1,2,109,71,0,1,3,2,0,0,0,0,0,0
26083,2023,80-84,114,69,45,69,45,0,0,0,0,0,0,0,0,0,0,69,45,0,0,0,0,0,0,0,0,1,2
26083,2023,85+,55,18,37,18,36,0,0,0,0,0,1,0,0,0,0,18,36,0,0,0,0,0,1,0,0,0,0
26083,2024,20-24,90,39,51,38,47,0,0,0,0,0,0,0,0,1,4,39,51,0,2,1,1,0,1,0,0,0,2
26083,2024,25-29,89,43,46,42,44,1,2,0,0,0,0,0,0,0,0,42,44,1,2,0,0,0,0,0,0,1,0
26083,2024,30-34,103,51,52,46,51,0,1,0,0,0,0,0,0,5,0,51,51,1,1,2,0,1,0,1,0,0,0
26083,2024,35-39,87,48,39,47,37,0,0,0,0,0,0,0,0,1,2,48,39,0,1,1,1,0,0,0,0,1,2
26083,2024,40-44,100,51,49,51,44,0,1,0,0,0,0,0,0,0,4,51,48,0,3,0,1,0,1,0,0,1,3
26083,2024,45-49,90,47,43,46,39,0,0,1,0,0,0,0,0,0,4,46,43,0,1,1,2,0,1,0,0,0,2
26083,2024,50-54,119,56,63,55,59,0,0,0,0,0,1,0,0,1,3,56,62,1,1,0,2,0,1,0,0,1,0
26083,2024,55-59,118,60,58,59,57,0,0,0,0,1,0,0,0,0,1,59,58,0,0,0,1,1,0,0,0,0,1
26083,2024,60-64,190,92,98,92,96,0,0,0,1,0,0,0,0,0,1,92,97,0,0,0,2,0,0,0,0,3,0
26083,2024,65-69,208,104,104,103,101,0,0,0,1,0,0,0,0,1,2,104,103,0,0,1,2,0,1,0,0,0,1
26083,2024,70-74,229,105,124,105,123,0,0,0,0,0,0,0,0,0,1,105,124,0,0,0,1,0,0,0,0,0,2
26083,2024,75-79,192,117,75,114,73,0,0,2,0,0,0,0,0,1,2,115,75,0,1,3,1,0,0,0,0,0,1
26083,2024,80-84,126,73,53,73,53,0,0,0,0,0,0,0,0,0,0,73,53,0,0,0,0,0,0,0,0,1,1
26083,2024,85+,52,19,33,19,32,0,0,0,0,0,1,0,0,0,0,19,32,0,0,0,0,0,1,0,0,0,1
26085,2020,20-24,614,379,235,264,188,95,29,6,7,0,1,0,0,14,10,276,198,107,36,10,9,2,1,1,1,58,51
26085,2020,25-29,639,412,227,266,195,110,20,8,1,2,2,0,0,26,9,289,202,122,26,21,3,7,5,0,1,92,22
26085,2020,30-34,602,382,220,264,185,103,19,1,0,0,1,0,0,14,15,276,198,110,26,7,7,2,3,1,1,65,30
26085,2020,35-39,632,359,273,268,243,85,20,1,2,0,1,1,0,4,7,272,249,86,23,3,5,0,3,2,0,37,37
26085,2020,40-44,659,401,258,313,231,79,10,6,5,2,4,0,0,1,8,314,238,79,13,6,9,3,6,0,1,49,36
26085,2020,45-49,760,444,316,360,276,70,30,3,4,0,0,0,0,11,6,371,282,72,30,8,7,2,3,2,0,55,52
26085,2020,50-54,784,445,339,377,301,51,19,7,9,1,2,0,0,9,8,384,309,53,21,14,14,3,3,0,0,42,24
26085,2020,55-59,979,501,478,436,430,50,30,10,6,1,0,0,1,4,11,440,441,51,34,12,13,2,2,0,1,25,18
26085,2020,60-64,1143,574,569,528,499,37,49,3,7,0,6,0,0,6,8,534,506,37,50,8,12,1,8,0,1,29,37
26085,2020,65-69,1195,634,561,583,487,38,51,2,12,0,4,0,0,11,7,593,494,40,52,8,17,4,5,1,0,13,9
26085,2020,70-74,852,452,400,401,360,40,31,4,4,1,1,0,0,6,4,407,364,42,31,10,5,1,4,0,0,5,6
26085,2020,75-79,557,292,265,266,232,26,26,0,2,0,4,0,0,0,1,266,233,26,26,0,3,0,4,0,0,12,10
26085,2020,80-84,331,176,155,159,138,11,12,3,2,2,0,0,0,1,3,160,141,11,12,3,5,3,0,0,0,2,0
26085,2020,85+,248,115,133,103,116,8,10,1,2,1,1,0,0,2,4,105,119,9,11,2,5,1,2,0,0,22,9
26085,2021,20-24,599,368,231,257,185,92,23,7,9,0,2,0,0,12,12,267,197,103,31,8,12,2,2,0,1,53,46
26085,2021,25-29,620,400,220,259,182,109,23,10,2,2,2,0,0,20,11,275,192,118,26,23,6,4,7,2,0,85,26
26085,2021,30-34,621,400,221,277,187,103,20,1,0,0,0,0,0,19,14,295,201,109,24,12,6,3,4,1,0,76,24
26085,2021,35-39,683,391,292,300,261,86,17,1,2,1,2,0,0,3,10,303,271,86,20,4,5,1,5,0,1,49,42
26085,2021,40-44,676,406,270,323,238,77,12,5,8,1,3,0,0,0,9,323,247,77,13,5,13,1,6,0,0,45,30
26085,2021,45-49,711,422,289,336,257,69,27,4,0,2,1,0,0,11,4,347,261,72,28,9,1,5,3,0,0,56,48
26085,2021,50-54,850,485,365,419,316,54,25,4,14,1,2,0,0,7,8,423,323,56,26,8,20,4,4,1,0,38,30
26085,2021,55-59,997,521,476,450,427,50,29,13,5,1,0,0,1,7,14,457,439,53,33,16,17,2,1,0,1,35,21
26085,2021,60-64,1165,581,584,535,534,37,33,5,7,0,3,0,0,4,7,539,540,38,34,8,13,0,4,0,0,25,40
26085,2021,65-69,1217,652,565,602,491,36,52,2,11,0,4,0,0,12,7,612,497,38,54,11,16,3,5,0,0,19,11
26085,2021,70-74,896,470,426,420,378,40,34,3,5,1,3,0,0,6,6,426,384,41,35,7,9,2,4,0,0,4,5
26085,2021,75-79,566,296,270,270,238,24,22,1,4,0,4,0,0,1,2,271,240,25,24,1,4,0,4,0,0,11,12
26085,2021,80-84,327,180,147,161,129,15,15,2,1,1,0,0,0,1,2,162,131,15,16,2,2,2,0,0,0,4,1
26085,2021,85+,258,122,136,107,120,10,7,1,3,2,1,0,0,2,5,109,124,11,7,2,7,2,3,0,0,24,9
26085,2022,20-24,603,388,215,274,171,92,19,6,7,0,4,0,0,16,14,289,184,98,27,11,13,4,5,2,0,63,41
26085,2022,25-29,670,417,253,291,209,100,25,9,5,2,1,0,1,15,12,305,220,107,33,13,11,7,2,1,1,76,40
26085,2022,30-34,633,401,232,265,206,108,13,3,0,0,0,0,0,25,13,286,217,118,16,18,9,4,3,2,0,89,20
26085,2022,35-39,707,420,287,330,251,85,17,1,1,1,2,0,0,3,16,333,265,86,22,3,9,1,6,0,1,65,39
