year,election,county,raw_votes_D,raw_votes_R,d_candidate,r_candidate
2018,governor,San Mateo,"213,282","70,242",Gavin Newsom,John H. Cox
2018,governor,Santa Barbara,"93,841","61,300",Gavin Newsom,John H. Cox
2018,governor,Santa Clara,"438,758","175,791",Gavin Newsom,John H. Cox
2018,governor,Santa Cruz,"91,523","27,665",Gavin Newsom,John H. Cox
2018,governor,Shasta,"20,256","49,825",Gavin Newsom,John H. Cox
2018,governor,Sierra,599,"1,068",Gavin Newsom,John H. Cox
2018,governor,Siskiyou,"7,218","10,946",Gavin Newsom,John H. Cox
2018,governor,Solano,"89,694","56,627",Gavin Newsom,John H. Cox
2018,governor,Sonoma,"152,040","58,338",Gavin Newsom,John H. Cox
2018,governor,Stanislaus,"77,220","79,751",Gavin Newsom,John H. Cox
2018,governor,Sutter,"11,122","18,953",Gavin Newsom,John H. Cox
2018,governor,Tehama,"5,756","15,137",Gavin Newsom,John H. Cox
2018,governor,Trinity,"2,250","3,075",Gavin Newsom,John H. Cox
2018,governor,Tulare,"42,702","57,012",Gavin Newsom,John H. Cox
2018,governor,Tuolumne,"9,294","14,580",Gavin Newsom,John H. Cox
2018,governor,Ventura,"171,729","137,393",Gavin Newsom,John H. Cox
2018,governor,Yolo,"49,759","23,611",Gavin Newsom,John H. Cox
2018,governor,Yuba,"6,903","12,293",Gavin Newsom,John H. Cox
2018,governor,State Totals,"7,721,410","4,742,825",Gavin Newsom,John H. Cox
2020,president,Alameda,"617,659","136,309",Joseph R. Biden,Donald J. Trump
2020,president,Alpine,476,244,Joseph R. Biden,Donald J. Trump
2020,president,Amador,"8,153","13,585",Joseph R. Biden,Donald J. Trump
2020,president,Butte,"50,426","48,730",Joseph R. Biden,Donald J. Trump
2020,president,Calaveras,"10,046","16,518",Joseph R. Biden,Donald J. Trump
2020,president,Colusa,"3,239","4,559",Joseph R. Biden,Donald J. Trump
2020,president,Contra Costa,"416,386","152,877",Joseph R. Biden,Donald J. Trump
2020,president,Del Norte,"4,677","6,461",Joseph R. Biden,Donald J. Trump
2020,president,El Dorado,"51,621","61,838",Joseph R. Biden,Donald J. Trump
2020,president,Fresno,"193,025","164,464",Joseph R. Biden,Donald J. Trump
2020,president,Glenn,"3,995","7,063",Joseph R. Biden,Donald J. Trump
2020,president,Humboldt,"44,768","21,770",Joseph R. Biden,Donald J. Trump
2020,president,Imperial,"34,678","20,847",Joseph R. Biden,Donald J. Trump
2020,president,Inyo,"4,634","4,620",Joseph R. Biden,Donald J. Trump
2020,president,Kern,"133,366","164,484",Joseph R. Biden,Donald J. Trump
2020,president,Kings,"18,699","24,072",Joseph R. Biden,Donald J. Trump
2020,president,Lake,"14,941","13,123",Joseph R. Biden,Donald J. Trump
2020,president,Lassen,"2,799","8,970",Joseph R. Biden,Donald J. Trump
2020,president,Los Angeles,"3,028,885","1,145,530",Joseph R. Biden,Donald J. Trump
2020,president,Madera,"23,168","29,378",Joseph R. Biden,Donald J. Trump
2020,president,Marin,"128,288","24,612",Joseph R. Biden,Donald J. Trump
2020,president,Mariposa,"4,088","5,950",Joseph R. Biden,Donald J. Trump
2020,president,Mendocino,"28,782","13,267",Joseph R. Biden,Donald J. Trump
2020,president,Merced,"48,991","39,397",Joseph R. Biden,Donald J. Trump
2020,president,Modoc,"1,150","3,109",Joseph R. Biden,Donald J. Trump
2020,president,Mono,"4,013","2,513",Joseph R. Biden,Donald J. Trump
2020,president,Monterey,"113,953","46,299",Joseph R. Biden,Donald J. Trump
